year,reefName,dhw
1986,Star Reef (11-239),2.37
1986,Yule Detached Reef (11-240),2.04
1986,Job Reef (11-241),2.37
1986,U/N Reef (11-242),2.37
1986,Nomad Reef (12-007),2.44
1986,Tyrrel Reefs (12-008),1.55
1986,Pickard Reef (12-009),1.55
1986,Kay Reef (12-010),2.09
1986,Beesley-Baird Reef (12-011),2.04
1986,U/N Reef (11-265),1.58
1986,U/N Reef (11-266),1.94
1986,U/N Reef (11-267),1.94
1986,U/N Reef (11-268),1.94
1986,U/N Reef (11-269),1.42
1986,U/N Reef (11-270),1.38
1986,U/N Reef (11-271),1.4
1986,U/N Reef (11-272),1.95
1986,U/N Reef (11-273),2.26
1986,U/N Reef (11-274),1.16
1986,U/N Reef (11-275),1.14
1986,U/N Reef (11-276),1.55
1986,U/N Reef (11-277),1.25
1986,U/N Reef (11-278),1.55
1986,U/N Reef (11-279),1.55
1986,U/N Reef (11-280),1.85
1986,U/N Reef (11-281),1.25
1986,U/N Reef (11-282),1.16
1986,U/N Reef (11-283),1.25
1986,U/N Reef (11-284),1.22
1986,U/N Reef (11-285),1.22
1986,U/N Reef (11-286),1.23
1986,U/N Reef (11-287),1.26
1986,U/N Reef (11-289),0.93
1986,U/N Reef (11-290),1.06
1986,U/N Reef (11-291),0.85
1986,U/N Reef (11-292),0.85
1986,U/N Reef (11-293),0.93
1986,U/N Reef (11-294),0.93
1986,U/N Reef (11-295),0.85
1986,U/N Reef (11-296),0.85
1986,U/N Reef (11-297),0.93
1986,U/N Reef (11-298),0.93
1986,U/N Reef (11-299),1
1986,U/N Reef (11-300),0.83
1986,U/N Reef (11-301),0.93
1986,U/N Reef (11-302),0.93
1986,Great Detached Reef (No 6) (11-244f),1.84
1986,U/N Reef (11-304),0.93
1986,U/N Reef (11-305),1
1986,U/N Reef (11-306),0.93
1986,U/N Reef (11-307),0.93
1986,U/N Reef (11-308),1
1986,U/N Reef (11-309),0.93
1986,Great Detached Reef (No 7) (11-244g),1.84
1986,Great Detached Reef (No 8) (11-244h),1.84
1986,U/N Reef (11-312),1
1986,U/N Reef (11-313),1.15
1986,U/N Reef (11-314),0.67
1986,U/N Reef (11-315),1.28
1986,U/N Reef (11-316),0.66
1986,U/N Reef (11-317),0.65
1986,U/N Reef (11-318),0.65
1986,U/N Reef (11-319),0.65
1986,U/N Reef (11-320),1.08
1986,U/N Reef (11-321),1.38
1986,U/N Reef (11-322),1.38
1986,U/N Reef (11-323),1.24
1986,U/N Reef (11-324),0.67
1986,U/N Reef (11-800),1.68
1986,Haggerston Reef (12-001),1.91
1986,Bannan Reef (12-002),2.18
1986,Mason Reef (12-003a),2.56
1986,U/N Reef (12-003b),2.44
1986,U/N Reef (12-003c),2.54
