reefName,year,sst
U/N Reef (11-105),1981,28.9714991251628
U/N Reef (11-107),1981,28.9714991251628
U/N Reef (11-108),1981,28.9755950655256
U/N Reef (11-109a),1981,28.9714991251628
U/N Reef (11-109b),1981,28.9714991251628
U/N Reef (11-110),1981,29.0123590822573
U/N Reef (11-111),1981,29.0509845451072
U/N Reef (11-112),1981,28.8642609914144
U/N Reef (11-113),1981,28.8666408379873
U/N Reef (11-114),1981,28.8666408379873
U/N Reef (11-115),1981,28.8666408379873
U/N Reef (11-116),1981,28.8577262845814
U/N Reef (11-117),1981,28.8673600481268
U/N Reef (11-118a),1981,28.8875953055717
U/N Reef (11-118b),1981,28.888564862703
U/N Reef (11-119),1981,28.888564862703
U/N Reef (11-077),1981,28.9477554805695
U/N Reef (11-078),1981,28.9233067830404
U/N Reef (11-079),1981,29.0313344347304
U/N Reef (11-080),1981,29.0011126332813
U/N Reef (11-081),1981,28.9477554805695
U/N Reef (11-082),1981,28.959759208245
U/N Reef (11-083),1981,28.959759208245
U/N Reef (11-084),1981,28.9697058836619
U/N Reef (11-085),1981,28.9697058836619
U/N Reef (11-087a),1981,28.9697058836619
U/N Reef (11-087b),1981,28.9697058836619
U/N Reef (11-088),1981,28.9697058836619
U/N Reef (11-089a),1981,28.9721428940936
U/N Reef (11-089b),1981,28.9721428940936
U/N Reef (11-090),1981,29.0189675179081
U/N Reef (11-091),1981,28.9713344119844
U/N Reef (11-092),1981,29.0134996343542
U/N Reef (11-093),1981,29.0085156205772
U/N Reef (11-094),1981,28.9713344119844
U/N Reef (11-095),1981,28.9713344119844
U/N Reef (11-096),1981,28.9671345532425
U/N Reef (11-097),1981,28.9651191870371
Risk Reef (11-098),1981,29.0171713369864
U/N Reef (11-099),1981,29.0336738254713
Shadwell Reef (11-100),1981,29.015454278476
U/N Reef (11-101),1981,29.0509845451072
U/N Reef (11-102),1981,28.9714991251628
U/N Reef (11-157),1981,29.056757963905
U/N Reef (11-158),1981,29.1044877198365
U/N Reef (11-120),1981,28.8916547139486
U/N Reef (11-121),1981,28.8916547139486
U/N Reef (11-122),1981,28.8916547139486
U/N Reef (11-123),1981,28.8916547139486
U/N Reef (11-124),1981,28.8916547139486
Stark Reef (11-125),1981,28.8939516544342
U/N Reef (11-126a),1981,28.9102223714193
U/N Reef (11-126b),1981,28.9102223714193
U/N Reef (11-127a),1981,28.9102223714193
U/N Reef (11-127b),1981,28.9102223714193
U/N Reef (11-128),1981,28.9102223714193
U/N Reef (11-129),1981,28.9102223714193
Moulter Reef (11-130),1981,28.9516755780603
Saunders Reef (11-131),1981,28.9536249372694
Hunter Reefs (11-132),1981,29.185984187656
U/N Reef (11-133),1981,29.2107031153536
Pirie Reef (11-134),1981,29.183642296564
U/N Reef (11-135),1981,29.2040070427789
Hannibal Islands Reef (11-136),1981,29.1681290944417
U/N Reef (11-137),1981,29.1754633821087
MacArthur Islands Reef (11-138),1981,29.1674622354053
U/N Reef (11-139),1981,29.1674622354053
U/N Reef (11-140),1981,29.1947702016586
U/N Reef (11-141),1981,29.1889103444417
U/N Reef (11-142),1981,29.1841830718212
U/N Reef (11-143),1981,29.1674622354053
U/N Reef (11-144),1981,29.1947702016586
U/N Reef (11-145),1981,29.225884700167
Nigger Head Reef (11-146),1981,29.1841830718212
U/N Reef (11-147),1981,29.1889103444417
U/N Reef (11-148),1981,29.200731171502
