reefName,year,chlA
U/N Reef (11-319),2002,0.377183243147843
U/N Reef (11-320),2002,0.374925264221889
U/N Reef (11-321),2002,0.370718415895266
U/N Reef (11-322),2002,0.365760362457177
U/N Reef (11-323),2002,0.365150750769048
U/N Reef (11-324),2002,0.342810314399273
U/N Reef (11-800),2002,0.496332551484456
Haggerston Reef (12-001),2002,0.404672575183249
Bannan Reef (12-002),2002,0.403628861220556
Mason Reef (12-003a),2002,0.363410070391855
U/N Reef (12-003b),2002,0.384467289365048
U/N Reef (12-003c),2002,0.362354174973515
U/N Reef (12-003d),2002,0.344992950167163
Moody Reef (12-004),2002,0.406724123743834
Young Reef (12-005),2002,0.414943612021015
Laurel Reef (12-006),2002,0.398046390014598
Fison Reefs (12-027c),2002,0.333502586169088
U/N Reef (12-028),2002,0.32926604838654
U/N Reef (12-029),2002,0.329111192139555
U/N Reef (12-030),2002,0.342398572883086
U/N Reef (12-031),2002,0.327320775142922
U/N Reef (12-032),2002,0.32407111096306
U/N Reef (12-033),2002,0.332306639522866
U/N Reef (12-034),2002,0.330720015593263
U/N Reef (12-035),2002,0.32807148011454
U/N Reef (12-036),2002,0.333113790277595
Wishbone Reef (12-037),2002,0.32270722742226
U/N Reef (12-038a),2002,0.326111080078142
U/N Reef (12-038b),2002,0.324974530711728
U/N Reef (12-039),2002,0.333642718421946
U/N Reef (12-040),2002,0.333417318987692
U/N Reef (12-041),2002,0.35613773536471
U/N Reef (12-042),2002,0.333664901840915
Martha Ridgway Reef (North) (12-043a),2002,0.331583458841557
Martha Ridgway Reef (South) (12-043b),2002,0.33117169904707
Piper Reef (12-012),2002,0.396077490655767
Inset Reef (12-013),2002,0.386604681603207
Hazel Reef (12-014),2002,0.378860437549504
Ada Reef (12-015),2002,0.424575441192382
Gallon Reef (12-016a),2002,0.351509678639654
Forbes Islands Reef (12-016b),2002,0.356069876128893
U/N Reef (12-016c),2002,0.347435978059576
Lion Reef (12-017),2002,0.403129778422906
Daniell Reef (12-018),2002,0.398770407365563
North Pint Patch (12-019),2002,0.360969933438359
South Pint Patch (12-020),2002,0.356092203944418
Andrew Reef (12-021),2002,0.381583233284874
U/N Reef (12-022),2002,0.388916586251688
Kangaroo Shoals (12-023),2002,0.370356746087221
U/N Reef (12-024),2002,0.338466338966204
U/N Reef (12-025),2002,0.365149108481274
Kemp Rocks Reef (12-026),2002,0.348870463021515
Quoin Reef (12-027),2002,0.333623241355841
Eel Reef (12-027a),2002,0.326962701209753
Dolphin Reef (12-096),2002,0.31497948368834
U/N Reef (12-097),2002,0.291425587485769
Second Small Reef (12-098),2002,0.289996220335239
Southern Small Detached Reef (12-099),2002,0.282722825003252
U/N Reef (12-100),2002,0.294201043505548
U/N Reef (12-101),2002,0.28607643793786
U/N Reef (12-044),2002,0.331446179717207
U/N Reef (12-045),2002,0.331395750971526
U/N Reef (12-046),2002,0.330201975757937
U/N Reef (12-047),2002,0.328811468131701
