year,reefName,cycImpact
1980,U/N Reef (11-242),0
1980,Nomad Reef (12-007),0
1980,Tyrrel Reefs (12-008),0
1980,Pickard Reef (12-009),0
1980,Kay Reef (12-010),0
1980,Beesley-Baird Reef (12-011),0
1980,U/N Reef (11-265),0
1980,U/N Reef (11-266),0
1980,U/N Reef (11-267),0
1980,U/N Reef (11-268),0
1980,U/N Reef (11-269),0
1980,U/N Reef (11-270),0
1980,U/N Reef (11-271),0
1980,U/N Reef (11-272),0
1980,U/N Reef (11-273),0
1980,U/N Reef (11-274),0
1980,U/N Reef (11-275),0
1980,U/N Reef (11-276),0
1980,U/N Reef (11-277),0
1980,U/N Reef (11-278),0
1980,U/N Reef (11-279),0
1980,U/N Reef (11-280),0
1980,U/N Reef (11-281),0
1980,U/N Reef (11-282),0
1980,U/N Reef (11-283),0
1980,U/N Reef (11-284),0
1980,U/N Reef (11-285),0
1980,U/N Reef (11-286),0
1980,U/N Reef (11-287),0
1980,U/N Reef (11-289),0
1980,U/N Reef (11-290),0
1980,U/N Reef (11-291),0
1980,U/N Reef (11-292),0
1980,U/N Reef (11-293),0
1980,U/N Reef (11-294),0
1980,U/N Reef (11-295),0
1980,U/N Reef (11-296),0
1980,U/N Reef (11-297),0
1980,U/N Reef (11-298),0
1980,U/N Reef (11-299),0
1980,U/N Reef (11-300),0
1980,U/N Reef (11-301),0
1980,U/N Reef (11-302),0
1980,Great Detached Reef (No 6) (11-244f),0
1980,U/N Reef (11-304),0
1980,U/N Reef (11-305),0
1980,U/N Reef (11-306),0
1980,U/N Reef (11-307),0
1980,U/N Reef (11-308),0
1980,U/N Reef (11-309),0
1980,Great Detached Reef (No 7) (11-244g),0
1980,Great Detached Reef (No 8) (11-244h),0
1980,U/N Reef (11-312),0
1980,U/N Reef (11-313),0
1980,U/N Reef (11-314),0
1980,U/N Reef (11-315),0
1980,U/N Reef (11-316),0
1980,U/N Reef (11-317),0
1980,U/N Reef (11-318),0
1980,U/N Reef (11-319),0
1980,U/N Reef (11-320),0
1980,U/N Reef (11-321),0
1980,U/N Reef (11-322),0
1980,U/N Reef (11-323),0
1980,U/N Reef (11-324),0
1980,U/N Reef (11-800),0
1980,Haggerston Reef (12-001),0
1980,Bannan Reef (12-002),0
1980,Mason Reef (12-003a),0
1980,U/N Reef (12-003b),0
1980,U/N Reef (12-003c),0
1980,U/N Reef (12-003d),0
1980,Moody Reef (12-004),0
1980,Young Reef (12-005),0
1980,Laurel Reef (12-006),0
1980,Fison Reefs (12-027c),0
1980,U/N Reef (12-028),0
1980,U/N Reef (12-029),0
1980,U/N Reef (12-030),0
1980,U/N Reef (12-031),0
1980,U/N Reef (12-032),0
1980,U/N Reef (12-033),0
1980,U/N Reef (12-034),0
1980,U/N Reef (12-035),0
1980,U/N Reef (12-036),0
1980,Wishbone Reef (12-037),0
1980,U/N Reef (12-038a),0
1980,U/N Reef (12-038b),0
1980,U/N Reef (12-039),0
1980,U/N Reef (12-040),0
1980,U/N Reef (12-041),0
1980,U/N Reef (12-042),0
1980,Martha Ridgway Reef (North) (12-043a),0
1980,Martha Ridgway Reef (South) (12-043b),0
1980,Piper Reef (12-012),0
1980,Inset Reef (12-013),0
1980,Hazel Reef (12-014),0
1980,Ada Reef (12-015),0
1980,Gallon Reef (12-016a),0
1980,Forbes Islands Reef (12-016b),0
1980,U/N Reef (12-016c),0
1980,Lion Reef (12-017),0
1980,Daniell Reef (12-018),0
1980,North Pint Patch (12-019),0
1980,South Pint Patch (12-020),0
1980,Andrew Reef (12-021),0
1980,U/N Reef (12-022),0
1980,Kangaroo Shoals (12-023),0
1980,U/N Reef (12-024),0
1980,U/N Reef (12-025),0
1980,Kemp Rocks Reef (12-026),0
1980,Quoin Reef (12-027),0
1980,Eel Reef (12-027a),0
1980,Dolphin Reef (12-096),0
1980,U/N Reef (12-097),0
1980,Second Small Reef (12-098),0
1980,Southern Small Detached Reef (12-099),0
1980,U/N Reef (12-100),0
1980,U/N Reef (12-101),0
1980,U/N Reef (12-044),0
1980,U/N Reef (12-045),0
1980,U/N Reef (12-046),0
1980,U/N Reef (12-047),0
1980,U/N Reef (12-048),0
1980,U/N Reef (12-049),0
1980,U/N Reef (12-050),0
1980,U/N Reef (12-051),0
1980,William Reef (East) (12-052a),0
1980,William Reef (West) (12-052b),0
1980,Henry Reef (12-053),0
1980,Lloyds Reef (12-054),0
1980,U/N Reef (12-055a),0
1980,U/N Reef (12-055b),0
1980,Mantis Reef (12-056),0
1980,U/N Reef (12-057),0
1980,Ferguson Reef (12-058),0
1980,U/N Reef (12-059),0
1980,U/N Reef (12-060),0
1980,Lagoon Reef (12-061),0
1980,U/N Reef (12-062),0
1980,U/N Reef (12-063),0
1980,U/N Reef (12-064),0
1980,U/N Reef (12-065),0
1980,U/N Reef (12-066),0
1980,Northern Small Detached Reef (12-067),0
1980,U/N Reef (12-068),0
1980,U/N Reef (12-069),0
1980,U/N Reef (12-070),0
1980,U/N Reef (12-071),0
1980,Middle Reef (12-072),0
1980,Pigeon Reef (12-073),0
1980,U/N Reef (12-075),0
1980,Rocky Island Reef (12-076),0
1980,U/N Reef (12-077),0
1980,Restoration Island Reef (12-078),0
1980,U/N Reef (12-080),0
1980,Edward Shoal (12-081),0
1980,U/N Reef (12-082),0
1980,U/N Reef (12-083),0
1980,Lloyd Island Reef (12-084),0
1980,Hazelgrove Reefs (12-085),0
1980,May Reef (12-086),0
1980,U/N Reef (12-087),0
1980,Sunter Reef (12-088),0
1980,Exit Reef (12-089),0
1980,Waight Bank (12-091),0
1980,U/N Reef (12-092),0
1980,Bunker Reef (12-093),0
1980,Long Sandy Reef (12-094),0
1980,U/N Reef (12-095),0
1980,Sunk Reef (12-122),0
1980,U/N Reef (12-123),0
1980,U/N Reef (12-124),0
1980,Rocky Island Reef (12-125),0
1980,Frederick Patches (12-126),0
1980,U/N Reef (12-127),0
1980,Chapman Reef (12-129),0
1980,U/N Reef (12-130),0
1980,U/N Reef (12-131),0
1980,Allen Reef (12-132),0
1980,U/N Reef (12-133),0
1980,U/N Reef (12-134),0
1980,U/N Reef (12-135),0
1980,Hammond Reef (12-136),0
1980,U/N Reef (12-137),0
1980,U/N Reef (12-138),0
1980,U/N Reef (12-139),0
1980,U/N Reef (12-141),0
1980,Curd Reef (12-102),0
1980,U/N Reef (12-103),0
1980,Log Reef (North) (12-104),0
1980,Burke Reef (12-105),0
1980,Tannadice Shoal (12-106),0
1980,Log Reef (South) (12-107),0
1980,U/N Reef (12-108),0
1980,U/N Reef (12-109),0
1980,U/N Reef (12-110),0
1980,First Small Reef (12-111),0
1980,Ape Reef (12-112),0
1980,U/N Reef (12-113),0
1980,U/N Reef (12-114),0
1980,Zenith Reef (12-115),0
1980,U/N Reef (12-116),0
1980,Bligh Reef (12-118),0
1980,Wye Reef (12-119),0
1980,Lansdown Reef (12-120),0
1980,U/N Reef (12-121),0
1980,Throne Shoals (13-036),0
1980,U/N Reef (13-037),0
1980,U/N Reef (13-038),0
1980,U/N Reef (13-040),0
1980,Celebration Reef (13-041),0
1980,U/N Reef (12-142),0
1980,Cat Reef (12-143),0
1980,U/N Reef (12-144),0
1980,Sherrard Reef (12-145),0
1980,U/N Reef (12-146),0
1980,U/N Reef (12-148),0
1980,U/N Reef (12-149),0
1980,U/N Reef (12-150),0
1980,U/N Reef (12-151),0
1980,U/N Reef (12-152),0
1980,U/N Reef (12-038c),0
1980,U/N Reef (12-154),0
1980,U/N Reef (13-001),0
1980,Derry Reef (13-002),0
1980,Wasp Reef (13-004),0
1980,Ham Reef (13-005),0
1980,Osborne Reef (13-006),0
1980,U/N Reef (13-007),0
1980,MacNamara Patch (13-008),0
1980,Wilsen Shoal (13-009),0
1980,U/N Reef (13-010a),0
1980,U/N Reef (13-010b),0
1980,U/N Reef (13-011),0
1980,Stork Reef (13-012),0
1980,U/N Reef (13-013),0
1980,U/N Reef (13-014),0
1980,Franklin Reef (13-015),0
1980,U/N Reef (13-016a),0
1980,U/N Reef (13-016b),0
1980,U/N Reef (13-017a),0
1980,U/N Reef (13-017b),0
1980,U/N Reef (13-017c),0
1980,U/N Reef (13-019),0
1980,Sykes Reef (13-020),0
1980,Colclough Reef (13-021),0
1980,New Reef (13-022),0
1980,Dart Shoal (13-023),0
1980,Glennie Reef (13-024),0
1980,Waterwitch Reef (13-025),0
1980,Gertrude Reef (13-026),0
1980,Jubilee Reef (13-027),0
1980,Tijou Reef (13-028),0
1980,U/N Reef (13-029),0
1980,U/N Reef (13-030),0
1980,Night Reef (13-031),0
1980,Diamond Reign Reefs (13-032),0
1980,U/N Reef (13-033),0
1980,Binstead Reef (13-034),0
1980,U/N Reef (13-035),0
1980,Hedley Reef (17-014),0
1980,Jackson Patches (17-015),0
